TINK,80
HDMI,1
LED,EF00
HDMI_1,1B
HDMI_2,1E
HDMI_3,D
HDMI_4,12
HDMI_5,10
HDMI_POWER_ON,5C
HDMI_POWER_OFF,1F
HDMI_UP,C
HDMI_DOWN,5
TINK_POWER,81
TINK_LIST,83
TINK_HOME,73
TINK_UP,38
TINK_DOWN,40
TINK_LEFT,37
TINK_RIGHT,39
TINK_OK,13
TINK_BACK,27
TINK_VOLUMEUP,87
TINK_VOLUMEDOWN,89
TINK_MOUSE,48
LED_ON,3
LED_OFF,2
TINK5X,2287
TINK5X_1,45
TINK5X_2,46
TINK5X_3,47
TINK5X_4,48
TINK5X_5,49
TINK5X_6,4A
TINK5X_7,4B
TINK5X_8,4C
TINK5X_9,4D
TINK5X_10,4E
TINK4K,49
TINK4K_1,B
TINK4K_2,7
TINK4K_3,3
TINK4K_4,A
TINK4K_5,6
TINK4K_6,2
TINK4K_7,9
TINK4K_8,5
TINK4K_9,1
TINK4K_10,25
TINK4K_11,26
TINK4K_12,27
